Date,MSFT.Adjusted,GOOG.Adjusted,AAPL.Adjusted,BAC.Adjusted,GS.Adjusted
1/3/2006,23.05,435.23,73.18,39,119.36
1/4/2006,23.16,445.24,73.39,38.59,117.72
1/5/2006,23.18,451.24,72.82,38.64,117.67
1/6/2006,23.11,465.66,74.7,38.58,119.34
1/9/2006,23.07,466.9,74.45,38.6,120.77
1/10/2006,23.19,469.76,79.16,38.28,122.29
1/11/2006,23.43,471.63,82.14,38.19,122.24
1/12/2006,23.31,463.63,82.52,37.94,122.5
1/13/2006,23.35,466.25,83.79,37.94,123.43
1/17/2006,23.18,467.11,82.93,37.54,122.81
1/18/2006,23.04,444.91,80.76,37.49,122.61
1/19/2006,23.2,436.45,77.38,37.39,123.95
1/20/2006,22.68,399.46,74.49,36.61,121.97
1/23/2006,22.63,427.5,76.04,36.42,123.3
1/24/2006,22.57,443.03,74.44,36.65,123.42
1/25/2006,22.67,433,72.64,36.97,123.94
1/26/2006,22.76,434.27,70.81,37.2,127.5
1/27/2006,23.86,433.49,70.52,37.11,128.93
1/30/2006,24.04,426.82,73.42,36.85,129.8
1/31/2006,24.17,432.66,73.92,36.64,131.08
2/1/2006,24.08,401.78,73.83,36.41,131.5
2/2/2006,23.77,396.04,70.58,35.99,132.25
2/3/2006,23.65,381.55,70.34,35.7,132.46
2/6/2006,23.33,385.1,65.88,35.93,132.53
2/7/2006,23.13,367.92,66.18,36.03,129.43
2/8/2006,23.11,369.08,67.36,36.18,130.97
2/9/2006,22.89,358.77,63.58,36.31,130.71
2/10/2006,22.92,362.61,65.89,36.38,130.67
2/13/2006,22.66,345.7,63.35,36.2,129.59
2/14/2006,22.89,343.32,66.22,36.58,131.57
2/15/2006,23.16,342.38,67.76,36.75,134.69
2/16/2006,23.1,366.46,69.09,37.02,135.39
2/17/2006,23.01,368.75,68.81,37,135.06
2/21/2006,22.87,366.59,67.63,36.91,133.12
2/22/2006,23.02,365.49,69.82,37.34,135.05
2/23/2006,22.97,378.07,70.24,37.59,133.59
2/24/2006,22.95,377.4,69.96,37.88,133.78
2/27/2006,23.31,390.38,69.5,38.09,133.46
